itemId,binId
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
100,100
101,101
102,102
103,103
104,104
105,105
106,106
107,107
108,108
109,109
110,110
111,111
112,112
113,113
114,114
115,115
116,116
117,117
118,118
119,119
120,120
121,121
122,122
123,123
124,124
125,125
126,126
127,127
128,128
129,129
130,130
131,131
132,132
133,133
134,134
135,135
136,136
137,137
138,138
139,139
140,140
141,141
142,142
143,143
144,144
145,145
146,146
147,147
148,148
149,149
150,150
151,151
152,152
153,153
154,154
155,155
156,156
157,157
158,158
159,159
160,160
161,161
162,162
163,163
164,164
165,165
166,166
167,166
168,167
169,167
170,168
171,168
172,169
173,169
174,163
175,164
176,170
177,170
178,171
179,171
180,172
181,172
182,160
183,151
184,152
185,153
186,154
187,155
188,156
189,157
190,173
191,173
192,149
193,150
194,148
195,140
196,174
197,174
198,175
199,175
200,138
201,139
202,131
203,132
204,135
205,136
206,127
207,128
208,125
209,126
210,129
211,130
212,176
213,176
214,177
215,177
216,178
217,178
218,112
219,113
220,179
221,179
222,110
223,111
224,114
225,105
226,180
227,180
228,108
229,109
230,181
231,181
232,182
233,182
234,90
235,91
236,92
237,93
238,183
239,183
240,85
241,86
242,137
243,141
244,184
245,184
246,81
247,82
248,83
249,84
250,185
251,185
252,186
253,186
254,73
255,74
256,187
257,187
258,188
259,188
260,67
261,68
262,189
263,189
264,65
265,66
266,96
267,97
268,57
269,58
270,55
271,56
272,53
273,54
274,51
275,52
276,124
277,133
278,190
279,190
280,191
281,191
282,192
283,192
284,42
285,43
286,193
287,193
288,194
289,194
290,195
291,195
292,98
293,99
294,33
295,34
296,212
297,158
298,27
299,28
300,29
301,30
302,161
303,162
304,196
305,196
306,197
307,197
308,198
309,198
310,199
311,199
312,63
313,64
314,70
315,71
316,60
317,61
318,101
319,102
320,200
321,200
322,201
323,201
324,202
325,202
326,203
327,203
328,203
329,118
330,119
331,120
332,103
333,200
334,201
335,142
336,143
337,144
338,11
339,12
340,13
341,4
342,5
343,6
344,204
345,204
346,204
347,45
348,46
349,47
350,205
351,205
352,205
353,197
354,198
355,199
356,206
357,206
358,206
359,207
360,207
361,207
362,80
363,87
364,88
365,208
366,208
367,208
368,89
369,94
370,95
371,121
372,122
373,123
374,209
375,209
376,209
377,196
378,69
379,72
380,159
381,165
382,17
383,21
384,22
385,23
386,210
387,210
388,210
389,115
390,116
391,117
392,100
393,18
394,62
395,145
396,146
397,147
398,193
399,194
400,195
401,190
402,191
403,192
404,31
405,48
406,49
407,50
408,59
409,0
410,1
411,2
412,3
413,211
414,211
415,211
416,211
417,7
418,8
419,9
420,10
421,39
422,40
423,41
424,44
425,75
426,76
427,77
428,78
429,35
430,36
431,37
432,38
433,32
434,189
435,79
436,134
437,15
438,134
439,188
440,202
441,14
442,16
443,187
444,210
445,107
446,145
447,146
448,147
449,159
450,165
451,104
452,104
453,106
454,106
455,107
456,186
457,24
458,19
459,20
460,20
461,75
462,76
463,77
464,78
465,79
466,24
467,19
468,25
469,25
470,26
471,183
472,121
473,209
474,184
475,185
476,26
477,100
478,122
479,123
480,115
481,144
482,182
483,208
484,35
485,36
486,37
487,38
488,44
489,32
490,16
491,207
492,40
493,181
494,14
495,180
496,212
497,212
498,212
499,212
