itemId,binId
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
100,100
101,101
102,102
103,103
104,104
105,105
106,106
107,107
108,108
109,109
110,110
111,111
112,112
113,113
114,114
115,115
116,116
117,117
118,118
119,119
120,120
121,121
122,122
123,123
124,124
125,125
126,126
127,127
128,128
129,129
130,130
131,131
132,132
133,133
134,134
135,135
136,136
137,137
138,138
139,139
140,140
141,141
142,142
143,143
144,144
145,145
146,146
147,147
148,148
149,149
150,150
151,151
152,152
153,153
154,154
155,155
156,156
157,157
158,158
159,159
160,160
161,404
162,161
163,162
164,163
165,164
166,165
167,166
168,167
169,168
170,169
171,170
172,171
173,172
174,173
175,174
176,175
177,176
178,177
179,178
180,179
181,180
182,181
183,182
184,183
185,184
186,185
187,186
188,187
189,188
190,189
191,190
192,191
193,192
194,193
195,194
196,195
197,196
198,197
199,198
200,199
201,200
202,201
203,202
204,203
205,204
206,205
207,206
208,207
209,208
210,209
211,210
212,211
213,212
214,213
215,214
216,215
217,216
218,217
219,218
220,219
221,220
222,221
223,222
224,223
225,224
226,225
227,226
228,227
229,228
230,229
231,230
232,231
233,232
234,233
235,234
236,235
237,236
238,237
239,238
240,239
241,240
242,241
243,242
244,243
245,244
246,245
247,246
248,247
249,248
250,249
251,250
252,251
253,252
254,253
255,254
256,255
257,256
258,257
259,258
260,259
261,260
262,261
263,262
264,263
265,264
266,265
267,266
268,267
269,268
270,269
271,270
272,271
273,272
274,273
275,274
276,275
277,276
278,277
279,278
280,279
281,280
282,281
283,282
284,283
285,284
286,285
287,286
288,287
289,288
290,289
291,289
292,290
293,290
294,291
295,291
296,292
297,292
298,293
299,293
300,294
301,294
302,295
303,295
304,296
305,296
306,297
307,297
308,298
309,298
310,299
311,299
312,280
313,281
314,276
315,277
316,278
317,279
318,300
319,300
320,301
321,301
322,262
323,263
324,302
325,302
326,303
327,303
328,266
329,267
330,264
331,265
332,258
333,259
334,304
335,304
336,305
337,305
338,306
339,306
340,307
341,307
342,260
343,261
344,308
345,308
346,309
347,309
348,310
349,310
350,247
351,248
352,311
353,311
354,312
355,312
356,313
357,313
358,251
359,252
360,245
361,246
362,249
363,250
364,253
365,254
366,314
367,314
368,315
369,315
370,232
371,233
372,316
373,316
374,230
375,231
376,223
377,224
378,219
379,220
380,221
381,222
382,317
383,317
384,217
385,218
386,318
387,318
388,198
389,199
390,202
391,203
392,319
393,319
394,200
395,201
396,196
397,197
398,194
399,195
400,320
401,320
402,229
403,234
404,257
405,268
406,321
407,321
408,181
409,182
410,179
411,180
412,183
413,184
414,322
415,322
416,323
417,323
418,275
419,282
420,324
421,324
422,325
423,325
424,326
425,326
426,153
427,154
428,327
429,327
430,328
431,328
432,329
433,329
434,149
435,150
436,145
437,146
438,330
439,330
440,147
441,148
442,214
443,215
444,331
445,331
446,332
447,332
448,134
449,135
450,138
451,139
452,333
453,333
454,132
455,133
456,334
457,334
458,286
459,287
460,335
461,335
462,130
463,131
464,136
465,137
466,216
467,225
468,336
469,336
470,125
471,126
472,337
473,337
474,338
475,338
476,123
477,124
478,121
479,122
480,339
481,339
482,340
483,340
484,204
485,205
486,172
487,173
488,341
489,341
490,342
491,342
492,109
493,106
494,167
495,168
496,192
497,193
498,104
499,105
500,102
501,103
502,343
503,343
504,344
505,344
506,114
507,115
508,107
509,108
510,93
511,94
512,345
513,345
514,91
515,92
516,206
517,207
518,346
519,346
520,81
521,82
522,79
523,80
524,83
525,84
526,186
527,187
528,241
529,242
530,347
531,347
532,348
533,348
534,61
535,62
536,142
537,143
538,63
539,64
540,49
541,50
542,53
543,54
544,51
545,52
546,45
547,46
548,47
549,48
550,235
551,236
552,189
553,190
554,349
555,349
556,111
557,112
558,42
559,43
560,350
561,350
562,99
563,100
564,40
565,41
566,36
567,37
568,38
569,39
570,351
571,351
572,352
573,352
574,353
575,353
576,354
577,354
578,31
579,32
580,355
581,355
582,55
583,56
584,169
585,170
586,244
587,255
588,356
589,356
590,269
591,270
592,21
593,22
594,19
595,20
596,174
597,175
598,238
599,239
600,357
601,357
602,17
603,18
604,11
605,12
606,9
607,10
608,358
609,358
610,359
611,359
612,75
613,76
614,360
615,360
616,13
617,14
618,15
619,6
620,7
621,8
622,3
623,4
624,5
625,361
626,361
627,361
628,0
629,1
630,2
631,362
632,362
633,362
634,363
635,363
636,363
637,364
638,364
639,364
640,27
641,28
642,29
643,365
644,365
645,365
646,366
647,366
648,366
649,367
650,367
651,367
652,357
653,23
654,358
655,359
656,77
657,360
658,368
659,368
660,368
661,211
662,212
663,213
664,369
665,369
666,369
667,272
668,273
669,274
670,240
671,171
672,256
673,370
674,370
675,370
676,371
677,371
678,371
679,226
680,227
681,228
682,372
683,372
684,372
685,404
686,356
687,57
688,161
689,162
690,163
691,373
692,373
693,373
694,208
695,209
696,210
697,24
698,25
699,26
700,374
701,374
702,374
703,351
704,352
705,353
706,164
707,165
708,166
709,375
710,375
711,375
712,191
713,349
714,113
715,376
716,376
717,376
718,65
719,66
720,67
721,377
722,377
723,377
724,378
725,378
726,378
727,72
728,73
729,74
730,379
731,379
732,379
733,380
734,380
735,380
736,381
737,381
738,381
739,58
740,59
741,60
742,177
743,178
744,185
745,382
746,382
747,382
748,116
749,117
750,118
751,383
752,383
753,383
754,271
755,176
756,16
757,350
758,101
759,355
760,237
761,354
762,30
763,384
764,384
765,384
766,283
767,284
768,285
769,385
770,385
771,385
772,120
773,127
774,128
775,243
776,347
777,348
778,386
779,386
780,386
781,387
782,387
783,387
784,95
785,96
786,97
787,388
788,388
789,388
790,389
791,389
792,389
793,389
794,390
795,390
796,390
797,390
798,68
799,69
800,70
801,71
802,157
803,158
804,159
805,160
806,44
807,33
808,34
809,35
810,346
811,388
812,98
813,188
814,144
815,386
816,129
817,387
818,391
819,391
820,391
821,391
822,392
823,392
824,392
825,392
826,393
827,393
828,393
829,393
830,394
831,394
832,394
833,394
834,395
835,395
836,395
837,395
838,151
839,152
840,155
841,156
842,271
843,384
844,155
845,156
846,243
847,283
848,284
849,285
850,396
851,396
852,396
853,396
854,140
855,140
856,141
857,141
858,382
859,119
860,383
861,343
862,188
863,397
864,397
865,397
866,397
867,397
868,87
869,88
870,89
871,86
872,90
873,344
874,110
875,385
876,110
877,345
878,152
879,119
880,341
881,342
882,151
883,78
884,85
885,85
886,340
887,86
888,90
889,336
890,339
891,337
892,338
893,398
894,398
895,398
896,398
897,398
898,157
899,78
900,87
901,88
902,89
903,399
904,399
905,399
906,399
907,399
908,400
909,400
910,400
911,400
912,400
913,333
914,334
915,178
916,335
917,396
918,274
919,144
920,185
921,379
922,380
923,401
924,401
925,401
926,401
927,401
928,401
929,256
930,272
931,273
932,226
933,227
934,228
935,402
936,402
937,402
938,402
939,402
940,402
941,208
942,331
943,332
944,376
945,378
946,377
947,127
948,128
949,164
950,165
951,166
952,129
953,209
954,210
955,191
956,176
957,177
958,98
959,161
960,162
961,163
962,329
963,330
964,381
965,158
966,159
967,160
968,237
969,288
970,288
971,403
972,403
973,403
974,403
975,403
976,403
977,403
978,120
979,211
980,212
981,213
982,96
983,97
984,116
985,325
986,326
987,374
988,327
989,328
990,95
991,288
992,117
993,118
994,171
995,269
996,270
997,375
998,240
999,404
